X1,Sex,ageband,Wales_Quintile_2019,popn,category,random
23596,Male,0,4,51919,Category_L,1
23597,Male,0,4,51919,Category_M,27
23598,Male,0,4,51919,Category_N,5
23599,Male,0,4,51919,Category_O,5
23600,Male,0,4,51919,Category_P,6
23825,Male,0,5,60205,Category_A,1
23826,Male,0,5,60205,Category_B,1
23827,Male,0,5,60205,Category_C,0
23828,Male,0,5,60205,Category_D,0
23829,Male,0,5,60205,Category_E,0
23830,Male,0,5,60205,Category_F,0
23831,Male,0,5,60205,Category_G,3
23832,Male,0,5,60205,Category_H,1
23833,Male,0,5,60205,Category_I,18
23834,Male,0,5,60205,Category_J,3
23835,Male,0,5,60205,Category_K,0
23836,Male,0,5,60205,Category_L,4
23837,Male,0,5,60205,Category_M,60
23838,Male,0,5,60205,Category_N,0
23839,Male,0,5,60205,Category_O,6
23840,Male,0,5,60205,Category_P,3
24065,Male,5,1,50546,Category_A,1
24066,Male,5,1,50546,Category_B,0
24067,Male,5,1,50546,Category_C,0
24068,Male,5,1,50546,Category_D,0
24069,Male,5,1,50546,Category_E,1
24070,Male,5,1,50546,Category_F,0
24071,Male,5,1,50546,Category_G,1
24072,Male,5,1,50546,Category_H,0
24073,Male,5,1,50546,Category_I,0
24074,Male,5,1,50546,Category_J,0
24075,Male,5,1,50546,Category_K,0
24076,Male,5,1,50546,Category_L,1
24077,Male,5,1,50546,Category_M,0
24078,Male,5,1,50546,Category_N,0
24079,Male,5,1,50546,Category_O,2
24080,Male,5,1,50546,Category_P,0
24305,Male,5,2,50523,Category_A,0
24306,Male,5,2,50523,Category_B,0
24307,Male,5,2,50523,Category_C,0
24308,Male,5,2,50523,Category_D,0
24309,Male,5,2,50523,Category_E,0
24310,Male,5,2,50523,Category_F,0
24311,Male,5,2,50523,Category_G,1
24312,Male,5,2,50523,Category_H,0
24313,Male,5,2,50523,Category_I,0
24314,Male,5,2,50523,Category_J,0
24315,Male,5,2,50523,Category_K,0
24316,Male,5,2,50523,Category_L,3
24317,Male,5,2,50523,Category_M,0
24318,Male,5,2,50523,Category_N,0
24319,Male,5,2,50523,Category_O,1
24320,Male,5,2,50523,Category_P,0
24545,Male,5,3,49351,Category_A,0
24546,Male,5,3,49351,Category_B,0
24547,Male,5,3,49351,Category_C,0
24548,Male,5,3,49351,Category_D,0
24549,Male,5,3,49351,Category_E,0
24550,Male,5,3,49351,Category_F,0
24551,Male,5,3,49351,Category_G,0
24552,Male,5,3,49351,Category_H,0
24553,Male,5,3,49351,Category_I,0
24554,Male,5,3,49351,Category_J,0
24555,Male,5,3,49351,Category_K,0
24556,Male,5,3,49351,Category_L,0
24557,Male,5,3,49351,Category_M,0
24558,Male,5,3,49351,Category_N,0
24559,Male,5,3,49351,Category_O,0
24560,Male,5,3,49351,Category_P,0
24785,Male,5,4,51758,Category_A,4
24786,Male,5,4,51758,Category_B,0
24787,Male,5,4,51758,Category_C,0
24788,Male,5,4,51758,Category_D,0
24789,Male,5,4,51758,Category_E,0
24790,Male,5,4,51758,Category_F,0
24791,Male,5,4,51758,Category_G,2
24792,Male,5,4,51758,Category_H,0
24793,Male,5,4,51758,Category_I,0
24794,Male,5,4,51758,Category_J,0
24795,Male,5,4,51758,Category_K,0
24796,Male,5,4,51758,Category_L,1
24797,Male,5,4,51758,Category_M,0
24798,Male,5,4,51758,Category_N,0
24799,Male,5,4,51758,Category_O,3
24800,Male,5,4,51758,Category_P,0
25025,Male,5,5,58129,Category_A,2
25026,Male,5,5,58129,Category_B,0
25027,Male,5,5,58129,Category_C,0
25028,Male,5,5,58129,Category_D,0
25029,Male,5,5,58129,Category_E,0
25030,Male,5,5,58129,Category_F,0
25031,Male,5,5,58129,Category_G,1
25032,Male,5,5,58129,Category_H,0
25033,Male,5,5,58129,Category_I,0
25034,Male,5,5,58129,Category_J,0
25035,Male,5,5,58129,Category_K,0
25036,Male,5,5,58129,Category_L,2
25037,Male,5,5,58129,Category_M,0
25038,Male,5,5,58129,Category_N,0
25039,Male,5,5,58129,Category_O,3
25040,Male,5,5,58129,Category_P,0
25265,Male,10,1,56459,Category_A,2
25266,Male,10,1,56459,Category_B,0
25267,Male,10,1,56459,Category_C,0
25268,Male,10,1,56459,Category_D,0
25269,Male,10,1,56459,Category_E,0
25270,Male,10,1,56459,Category_F,0
25271,Male,10,1,56459,Category_G,0
25272,Male,10,1,56459,Category_H,0
25273,Male,10,1,56459,Category_I,0
25274,Male,10,1,56459,Category_J,0
25275,Male,10,1,56459,Category_K,0
25276,Male,10,1,56459,Category_L,1
25277,Male,10,1,56459,Category_M,0
25278,Male,10,1,56459,Category_N,0
25279,Male,10,1,56459,Category_O,1
25280,Male,10,1,56459,Category_P,0
25505,Male,10,2,56460,Category_A,2
25506,Male,10,2,56460,Category_B,1
25507,Male,10,2,56460,Category_C,0
25508,Male,10,2,56460,Category_D,0
25509,Male,10,2,56460,Category_E,0
25510,Male,10,2,56460,Category_F,0
25511,Male,10,2,56460,Category_G,1
25512,Male,10,2,56460,Category_H,0
25513,Male,10,2,56460,Category_I,0
25514,Male,10,2,56460,Category_J,0
25515,Male,10,2,56460,Category_K,0
25516,Male,10,2,56460,Category_L,1
25517,Male,10,2,56460,Category_M,0
25518,Male,10,2,56460,Category_N,0
25519,Male,10,2,56460,Category_O,1
25520,Male,10,2,56460,Category_P,1
25745,Male,10,3,55194,Category_A,1
25746,Male,10,3,55194,Category_B,0
25747,Male,10,3,55194,Category_C,0
25748,Male,10,3,55194,Category_D,0
25749,Male,10,3,55194,Category_E,0
25750,Male,10,3,55194,Category_F,0
25751,Male,10,3,55194,Category_G,0
25752,Male,10,3,55194,Category_H,0
25753,Male,10,3,55194,Category_I,1
25754,Male,10,3,55194,Category_J,0
25755,Male,10,3,55194,Category_K,0
25756,Male,10,3,55194,Category_L,1
25757,Male,10,3,55194,Category_M,0
25758,Male,10,3,55194,Category_N,0
25759,Male,10,3,55194,Category_O,1
25760,Male,10,3,55194,Category_P,1
25985,Male,10,4,57444,Category_A,1
25986,Male,10,4,57444,Category_B,2
25987,Male,10,4,57444,Category_C,0
25988,Male,10,4,57444,Category_D,0
25989,Male,10,4,57444,Category_E,0
25990,Male,10,4,57444,Category_F,0
25991,Male,10,4,57444,Category_G,4
25992,Male,10,4,57444,Category_H,0
25993,Male,10,4,57444,Category_I,0
25994,Male,10,4,57444,Category_J,0
25995,Male,10,4,57444,Category_K,0
25996,Male,10,4,57444,Category_L,0
25997,Male,10,4,57444,Category_M,0
25998,Male,10,4,57444,Category_N,0
25999,Male,10,4,57444,Category_O,1
26000,Male,10,4,57444,Category_P,0
26225,Male,10,5,62915,Category_A,3
26226,Male,10,5,62915,Category_B,0
26227,Male,10,5,62915,Category_C,0
26228,Male,10,5,62915,Category_D,0
26229,Male,10,5,62915,Category_E,0
26230,Male,10,5,62915,Category_F,0
26231,Male,10,5,62915,Category_G,6
26232,Male,10,5,62915,Category_H,1
26233,Male,10,5,62915,Category_I,1
26234,Male,10,5,62915,Category_J,0
26235,Male,10,5,62915,Category_K,0
26236,Male,10,5,62915,Category_L,1
26237,Male,10,5,62915,Category_M,0
26238,Male,10,5,62915,Category_N,0
26239,Male,10,5,62915,Category_O,3
26240,Male,10,5,62915,Category_P,1
26465,Male,15,1,61542,Category_A,3
26466,Male,15,1,61542,Category_B,1
26467,Male,15,1,61542,Category_C,0
26468,Male,15,1,61542,Category_D,0
26469,Male,15,1,61542,Category_E,0
26470,Male,15,1,61542,Category_F,1
26471,Male,15,1,61542,Category_G,6
26472,Male,15,1,61542,Category_H,0
26473,Male,15,1,61542,Category_I,1
26474,Male,15,1,61542,Category_J,0
26475,Male,15,1,61542,Category_K,0
26476,Male,15,1,61542,Category_L,3
26477,Male,15,1,61542,Category_M,0
26478,Male,15,1,61542,Category_N,0
26479,Male,15,1,61542,Category_O,1
26480,Male,15,1,61542,Category_P,0
26705,Male,15,2,57883,Category_A,2
26706,Male,15,2,57883,Category_B,2
26707,Male,15,2,57883,Category_C,0
26708,Male,15,2,57883,Category_D,0
26709,Male,15,2,57883,Category_E,0
26710,Male,15,2,57883,Category_F,1
26711,Male,15,2,57883,Category_G,17
26712,Male,15,2,57883,Category_H,0
26713,Male,15,2,57883,Category_I,0
26714,Male,15,2,57883,Category_J,1
26715,Male,15,2,57883,Category_K,0
26716,Male,15,2,57883,Category_L,2
26717,Male,15,2,57883,Category_M,0
26718,Male,15,2,57883,Category_N,0
26719,Male,15,2,57883,Category_O,3
26720,Male,15,2,57883,Category_P,0
26945,Male,15,3,63287,Category_A,0
26946,Male,15,3,63287,Category_B,3
26947,Male,15,3,63287,Category_C,0
26948,Male,15,3,63287,Category_D,1
26949,Male,15,3,63287,Category_E,0
26950,Male,15,3,63287,Category_F,3
26951,Male,15,3,63287,Category_G,18
26952,Male,15,3,63287,Category_H,0
26953,Male,15,3,63287,Category_I,0
26954,Male,15,3,63287,Category_J,1
26955,Male,15,3,63287,Category_K,0
26956,Male,15,3,63287,Category_L,2
26957,Male,15,3,63287,Category_M,1
26958,Male,15,3,63287,Category_N,0
26959,Male,15,3,63287,Category_O,2
26960,Male,15,3,63287,Category_P,1
27185,Male,15,4,61330,Category_A,5
27186,Male,15,4,61330,Category_B,1
27187,Male,15,4,61330,Category_C,0
27188,Male,15,4,61330,Category_D,0
27189,Male,15,4,61330,Category_E,0
27190,Male,15,4,61330,Category_F,1
27191,Male,15,4,61330,Category_G,26
27192,Male,15,4,61330,Category_H,0
27193,Male,15,4,61330,Category_I,0
27194,Male,15,4,61330,Category_J,1
27195,Male,15,4,61330,Category_K,0
27196,Male,15,4,61330,Category_L,0
27197,Male,15,4,61330,Category_M,0
27198,Male,15,4,61330,Category_N,0
27199,Male,15,4,61330,Category_O,0
27200,Male,15,4,61330,Category_P,0
27425,Male,15,5,64116,Category_A,0
27426,Male,15,5,64116,Category_B,2
27427,Male,15,5,64116,Category_C,0
27428,Male,15,5,64116,Category_D,0
27429,Male,15,5,64116,Category_E,0
27430,Male,15,5,64116,Category_F,5
27431,Male,15,5,64116,Category_G,25
27432,Male,15,5,64116,Category_H,0
27433,Male,15,5,64116,Category_I,3
27434,Male,15,5,64116,Category_J,0
27435,Male,15,5,64116,Category_K,0
27436,Male,15,5,64116,Category_L,7
27437,Male,15,5,64116,Category_M,4
27438,Male,15,5,64116,Category_N,0
27439,Male,15,5,64116,Category_O,1
27440,Male,15,5,64116,Category_P,0
27665,Male,20,1,50606,Category_A,3
27666,Male,20,1,50606,Category_B,1
27667,Male,20,1,50606,Category_C,0
27668,Male,20,1,50606,Category_D,0
27669,Male,20,1,50606,Category_E,0
27670,Male,20,1,50606,Category_F,2
27671,Male,20,1,50606,Category_G,17
27672,Male,20,1,50606,Category_H,0
27673,Male,20,1,50606,Category_I,2
27674,Male,20,1,50606,Category_J,1
27675,Male,20,1,50606,Category_K,0
27676,Male,20,1,50606,Category_L,2
27677,Male,20,1,50606,Category_M,1
27678,Male,20,1,50606,Category_N,0
27679,Male,20,1,50606,Category_O,3
27680,Male,20,1,50606,Category_P,0
27905,Male,20,2,52907,Category_A,2
27906,Male,20,2,52907,Category_B,3
27907,Male,20,2,52907,Category_C,0
27908,Male,20,2,52907,Category_D,0
27909,Male,20,2,52907,Category_E,0
27910,Male,20,2,52907,Category_F,2
27911,Male,20,2,52907,Category_G,24
27912,Male,20,2,52907,Category_H,0
27913,Male,20,2,52907,Category_I,2
27914,Male,20,2,52907,Category_J,0
27915,Male,20,2,52907,Category_K,0
27916,Male,20,2,52907,Category_L,2
27917,Male,20,2,52907,Category_M,1
27918,Male,20,2,52907,Category_N,0
27919,Male,20,2,52907,Category_O,1
27920,Male,20,2,52907,Category_P,0
28145,Male,20,3,72551,Category_A,2
28146,Male,20,3,72551,Category_B,0
28147,Male,20,3,72551,Category_C,0
28148,Male,20,3,72551,Category_D,0
28149,Male,20,3,72551,Category_E,0
28150,Male,20,3,72551,Category_F,11
28151,Male,20,3,72551,Category_G,13
28152,Male,20,3,72551,Category_H,0
28153,Male,20,3,72551,Category_I,2
28154,Male,20,3,72551,Category_J,0
28155,Male,20,3,72551,Category_K,0
28156,Male,20,3,72551,Category_L,3
28157,Male,20,3,72551,Category_M,0
28158,Male,20,3,72551,Category_N,0
28159,Male,20,3,72551,Category_O,2
28160,Male,20,3,72551,Category_P,0
28385,Male,20,4,62095,Category_A,5
28386,Male,20,4,62095,Category_B,3
28387,Male,20,4,62095,Category_C,0
28388,Male,20,4,62095,Category_D,0
28389,Male,20,4,62095,Category_E,0
28390,Male,20,4,62095,Category_F,10
28391,Male,20,4,62095,Category_G,25
28392,Male,20,4,62095,Category_H,0
28393,Male,20,4,62095,Category_I,2
28394,Male,20,4,62095,Category_J,0
28395,Male,20,4,62095,Category_K,0
28396,Male,20,4,62095,Category_L,5
28397,Male,20,4,62095,Category_M,2
28398,Male,20,4,62095,Category_N,0
28399,Male,20,4,62095,Category_O,0
28400,Male,20,4,62095,Category_P,0
28625,Male,20,5,62445,Category_A,7
28626,Male,20,5,62445,Category_B,4
28627,Male,20,5,62445,Category_C,0
28628,Male,20,5,62445,Category_D,0
28629,Male,20,5,62445,Category_E,2
28630,Male,20,5,62445,Category_F,16
28631,Male,20,5,62445,Category_G,38
28632,Male,20,5,62445,Category_H,1
28633,Male,20,5,62445,Category_I,2
28634,Male,20,5,62445,Category_J,0
28635,Male,20,5,62445,Category_K,0
28636,Male,20,5,62445,Category_L,4
28637,Male,20,5,62445,Category_M,4
28638,Male,20,5,62445,Category_N,0
28639,Male,20,5,62445,Category_O,4
28640,Male,20,5,62445,Category_P,0
28865,Male,25,1,44430,Category_A,4
28866,Male,25,1,44430,Category_B,1
28867,Male,25,1,44430,Category_C,0
28868,Male,25,1,44430,Category_D,0
28869,Male,25,1,44430,Category_E,0
28870,Male,25,1,44430,Category_F,3
28871,Male,25,1,44430,Category_G,12
28872,Male,25,1,44430,Category_H,0
28873,Male,25,1,44430,Category_I,0
28874,Male,25,1,44430,Category_J,0
28875,Male,25,1,44430,Category_K,2
28876,Male,25,1,44430,Category_L,0
28877,Male,25,1,44430,Category_M,0
28878,Male,25,1,44430,Category_N,0
28879,Male,25,1,44430,Category_O,2
28880,Male,25,1,44430,Category_P,0
29105,Male,25,2,49052,Category_A,3
29106,Male,25,2,49052,Category_B,4
29107,Male,25,2,49052,Category_C,0
29108,Male,25,2,49052,Category_D,0
29109,Male,25,2,49052,Category_E,2
29110,Male,25,2,49052,Category_F,4
29111,Male,25,2,49052,Category_G,23
29112,Male,25,2,49052,Category_H,1
29113,Male,25,2,49052,Category_I,0
29114,Male,25,2,49052,Category_J,0
29115,Male,25,2,49052,Category_K,0
29116,Male,25,2,49052,Category_L,3
29117,Male,25,2,49052,Category_M,0
29118,Male,25,2,49052,Category_N,0
29119,Male,25,2,49052,Category_O,3
29120,Male,25,2,49052,Category_P,0
29345,Male,25,3,54770,Category_A,5
29346,Male,25,3,54770,Category_B,6
29347,Male,25,3,54770,Category_C,0
29348,Male,25,3,54770,Category_D,1
29349,Male,25,3,54770,Category_E,1
29350,Male,25,3,54770,Category_F,9
29351,Male,25,3,54770,Category_G,19
29352,Male,25,3,54770,Category_H,0
29353,Male,25,3,54770,Category_I,0
29354,Male,25,3,54770,Category_J,0
29355,Male,25,3,54770,Category_K,0
29356,Male,25,3,54770,Category_L,2
29357,Male,25,3,54770,Category_M,1
29358,Male,25,3,54770,Category_N,0
29359,Male,25,3,54770,Category_O,3
29360,Male,25,3,54770,Category_P,1
29585,Male,25,4,57460,Category_A,1
29586,Male,25,4,57460,Category_B,7
29587,Male,25,4,57460,Category_C,0
29588,Male,25,4,57460,Category_D,1
29589,Male,25,4,57460,Category_E,3
29590,Male,25,4,57460,Category_F,10
29591,Male,25,4,57460,Category_G,33
29592,Male,25,4,57460,Category_H,0
29593,Male,25,4,57460,Category_I,1
29594,Male,25,4,57460,Category_J,0
29595,Male,25,4,57460,Category_K,0
29596,Male,25,4,57460,Category_L,4
29597,Male,25,4,57460,Category_M,0
29598,Male,25,4,57460,Category_N,0
29599,Male,25,4,57460,Category_O,1
29600,Male,25,4,57460,Category_P,0
29825,Male,25,5,59420,Category_A,3
29826,Male,25,5,59420,Category_B,2
29827,Male,25,5,59420,Category_C,0
29828,Male,25,5,59420,Category_D,1
29829,Male,25,5,59420,Category_E,4
29830,Male,25,5,59420,Category_F,22
29831,Male,25,5,59420,Category_G,35
29832,Male,25,5,59420,Category_H,1
29833,Male,25,5,59420,Category_I,6
29834,Male,25,5,59420,Category_J,1
29835,Male,25,5,59420,Category_K,0
29836,Male,25,5,59420,Category_L,2
29837,Male,25,5,59420,Category_M,5
29838,Male,25,5,59420,Category_N,0
29839,Male,25,5,59420,Category_O,4
29840,Male,25,5,59420,Category_P,0
30065,Male,30,1,48084,Category_A,5
30066,Male,30,1,48084,Category_B,5
30067,Male,30,1,48084,Category_C,0
30068,Male,30,1,48084,Category_D,3
30069,Male,30,1,48084,Category_E,1
30070,Male,30,1,48084,Category_F,1
30071,Male,30,1,48084,Category_G,15
30072,Male,30,1,48084,Category_H,1
30073,Male,30,1,48084,Category_I,2
30074,Male,30,1,48084,Category_J,0
30075,Male,30,1,48084,Category_K,0
30076,Male,30,1,48084,Category_L,2
30077,Male,30,1,48084,Category_M,0
30078,Male,30,1,48084,Category_N,0
30079,Male,30,1,48084,Category_O,0
30080,Male,30,1,48084,Category_P,0
30305,Male,30,2,48081,Category_A,11
30306,Male,30,2,48081,Category_B,3
30307,Male,30,2,48081,Category_C,0
30308,Male,30,2,48081,Category_D,0
30309,Male,30,2,48081,Category_E,3
30310,Male,30,2,48081,Category_F,6
30311,Male,30,2,48081,Category_G,20
30312,Male,30,2,48081,Category_H,1
30313,Male,30,2,48081,Category_I,0
30314,Male,30,2,48081,Category_J,2
30315,Male,30,2,48081,Category_K,3
30316,Male,30,2,48081,Category_L,0
30317,Male,30,2,48081,Category_M,0
30318,Male,30,2,48081,Category_N,0
30319,Male,30,2,48081,Category_O,4
30320,Male,30,2,48081,Category_P,1
30545,Male,30,3,51031,Category_A,5
30546,Male,30,3,51031,Category_B,9
30547,Male,30,3,51031,Category_C,0
30548,Male,30,3,51031,Category_D,0
30549,Male,30,3,51031,Category_E,5
30550,Male,30,3,51031,Category_F,6
30551,Male,30,3,51031,Category_G,26
30552,Male,30,3,51031,Category_H,0
30553,Male,30,3,51031,Category_I,3
30554,Male,30,3,51031,Category_J,0
30555,Male,30,3,51031,Category_K,2
30556,Male,30,3,51031,Category_L,2
30557,Male,30,3,51031,Category_M,0
30558,Male,30,3,51031,Category_N,0
30559,Male,30,3,51031,Category_O,6
30560,Male,30,3,51031,Category_P,1
30785,Male,30,4,51943,Category_A,3
30786,Male,30,4,51943,Category_B,11
30787,Male,30,4,51943,Category_C,0
30788,Male,30,4,51943,Category_D,0
30789,Male,30,4,51943,Category_E,4
30790,Male,30,4,51943,Category_F,15
30791,Male,30,4,51943,Category_G,28
30792,Male,30,4,51943,Category_H,1
30793,Male,30,4,51943,Category_I,1
30794,Male,30,4,51943,Category_J,1
30795,Male,30,4,51943,Category_K,1
30796,Male,30,4,51943,Category_L,3
30797,Male,30,4,51943,Category_M,2
30798,Male,30,4,51943,Category_N,0
30799,Male,30,4,51943,Category_O,1
30800,Male,30,4,51943,Category_P,0
31025,Male,30,5,52477,Category_A,4
31026,Male,30,5,52477,Category_B,11
31027,Male,30,5,52477,Category_C,0
31028,Male,30,5,52477,Category_D,0
31029,Male,30,5,52477,Category_E,7
31030,Male,30,5,52477,Category_F,28
31031,Male,30,5,52477,Category_G,33
31032,Male,30,5,52477,Category_H,0
31033,Male,30,5,52477,Category_I,3
31034,Male,30,5,52477,Category_J,2
31035,Male,30,5,52477,Category_K,2
31036,Male,30,5,52477,Category_L,4
31037,Male,30,5,52477,Category_M,3
31038,Male,30,5,52477,Category_N,0
31039,Male,30,5,52477,Category_O,1
31040,Male,30,5,52477,Category_P,2
31265,Male,35,1,62173,Category_A,7
31266,Male,35,1,62173,Category_B,13
31267,Male,35,1,62173,Category_C,0
31268,Male,35,1,62173,Category_D,0
31269,Male,35,1,62173,Category_E,2
31270,Male,35,1,62173,Category_F,3
31271,Male,35,1,62173,Category_G,13
31272,Male,35,1,62173,Category_H,0
31273,Male,35,1,62173,Category_I,1
31274,Male,35,1,62173,Category_J,0
31275,Male,35,1,62173,Category_K,1
31276,Male,35,1,62173,Category_L,2
31277,Male,35,1,62173,Category_M,0
31278,Male,35,1,62173,Category_N,0
31279,Male,35,1,62173,Category_O,3
31280,Male,35,1,62173,Category_P,1
31505,Male,35,2,61285,Category_A,14
31506,Male,35,2,61285,Category_B,5
31507,Male,35,2,61285,Category_C,0
31508,Male,35,2,61285,Category_D,0
31509,Male,35,2,61285,Category_E,7
31510,Male,35,2,61285,Category_F,8
31511,Male,35,2,61285,Category_G,16
31512,Male,35,2,61285,Category_H,0
31513,Male,35,2,61285,Category_I,2
31514,Male,35,2,61285,Category_J,0
31515,Male,35,2,61285,Category_K,3
31516,Male,35,2,61285,Category_L,1
31517,Male,35,2,61285,Category_M,1
31518,Male,35,2,61285,Category_N,0
31519,Male,35,2,61285,Category_O,0
31520,Male,35,2,61285,Category_P,0
31745,Male,35,3,59073,Category_A,9
31746,Male,35,3,59073,Category_B,17
31747,Male,35,3,59073,Category_C,0
31748,Male,35,3,59073,Category_D,0
31749,Male,35,3,59073,Category_E,8
31750,Male,35,3,59073,Category_F,13
31751,Male,35,3,59073,Category_G,13
31752,Male,35,3,59073,Category_H,0
31753,Male,35,3,59073,Category_I,1
31754,Male,35,3,59073,Category_J,3
31755,Male,35,3,59073,Category_K,1
31756,Male,35,3,59073,Category_L,4
31757,Male,35,3,59073,Category_M,2
31758,Male,35,3,59073,Category_N,0
31759,Male,35,3,59073,Category_O,2
31760,Male,35,3,59073,Category_P,4
31985,Male,35,4,61965,Category_A,17
31986,Male,35,4,61965,Category_B,21
31987,Male,35,4,61965,Category_C,0
31988,Male,35,4,61965,Category_D,1
31989,Male,35,4,61965,Category_E,14
31990,Male,35,4,61965,Category_F,22
31991,Male,35,4,61965,Category_G,38
31992,Male,35,4,61965,Category_H,1
31993,Male,35,4,61965,Category_I,3
31994,Male,35,4,61965,Category_J,1
31995,Male,35,4,61965,Category_K,3
31996,Male,35,4,61965,Category_L,4
31997,Male,35,4,61965,Category_M,2
31998,Male,35,4,61965,Category_N,0
31999,Male,35,4,61965,Category_O,3
32000,Male,35,4,61965,Category_P,4
32225,Male,35,5,57196,Category_A,19
32226,Male,35,5,57196,Category_B,22
32227,Male,35,5,57196,Category_C,0
32228,Male,35,5,57196,Category_D,0
32229,Male,35,5,57196,Category_E,20
32230,Male,35,5,57196,Category_F,24
32231,Male,35,5,57196,Category_G,27
32232,Male,35,5,57196,Category_H,4
32233,Male,35,5,57196,Category_I,1
32234,Male,35,5,57196,Category_J,2
32235,Male,35,5,57196,Category_K,5
32236,Male,35,5,57196,Category_L,4
32237,Male,35,5,57196,Category_M,2
32238,Male,35,5,57196,Category_N,0
32239,Male,35,5,57196,Category_O,6
32240,Male,35,5,57196,Category_P,5
32465,Male,40,1,67962,Category_A,30
32466,Male,40,1,67962,Category_B,13
32467,Male,40,1,67962,Category_C,0
32468,Male,40,1,67962,Category_D,0
32469,Male,40,1,67962,Category_E,5
32470,Male,40,1,67962,Category_F,8
32471,Male,40,1,67962,Category_G,12
32472,Male,40,1,67962,Category_H,0
32473,Male,40,1,67962,Category_I,2
32474,Male,40,1,67962,Category_J,2
32475,Male,40,1,67962,Category_K,1
32476,Male,40,1,67962,Category_L,6
32477,Male,40,1,67962,Category_M,0
32478,Male,40,1,67962,Category_N,0
32479,Male,40,1,67962,Category_O,6
32480,Male,40,1,67962,Category_P,4
32705,Male,40,2,67837,Category_A,14
32706,Male,40,2,67837,Category_B,21
32707,Male,40,2,67837,Category_C,0
32708,Male,40,2,67837,Category_D,0
32709,Male,40,2,67837,Category_E,9
32710,Male,40,2,67837,Category_F,6
32711,Male,40,2,67837,Category_G,22
32712,Male,40,2,67837,Category_H,1
32713,Male,40,2,67837,Category_I,3
32714,Male,40,2,67837,Category_J,1
32715,Male,40,2,67837,Category_K,1
32716,Male,40,2,67837,Category_L,3
32717,Male,40,2,67837,Category_M,0
32718,Male,40,2,67837,Category_N,0
32719,Male,40,2,67837,Category_O,3
32720,Male,40,2,67837,Category_P,4
32945,Male,40,3,64290,Category_A,29
32946,Male,40,3,64290,Category_B,29
32947,Male,40,3,64290,Category_C,0
32948,Male,40,3,64290,Category_D,0
32949,Male,40,3,64290,Category_E,19
32950,Male,40,3,64290,Category_F,7
32951,Male,40,3,64290,Category_G,30
32952,Male,40,3,64290,Category_H,1
32953,Male,40,3,64290,Category_I,2
32954,Male,40,3,64290,Category_J,1
32955,Male,40,3,64290,Category_K,2
32956,Male,40,3,64290,Category_L,5
32957,Male,40,3,64290,Category_M,3
32958,Male,40,3,64290,Category_N,0
32959,Male,40,3,64290,Category_O,8
32960,Male,40,3,64290,Category_P,3
33185,Male,40,4,62900,Category_A,19
33186,Male,40,4,62900,Category_B,37
33187,Male,40,4,62900,Category_C,0
33188,Male,40,4,62900,Category_D,0
33189,Male,40,4,62900,Category_E,30
33190,Male,40,4,62900,Category_F,12
33191,Male,40,4,62900,Category_G,29
33192,Male,40,4,62900,Category_H,2
33193,Male,40,4,62900,Category_I,1
